,title,rating,director,year,runtime,age rating,image link,webpage
0,The Shawshank Redemption,9.3,Frank Darabont,1994,2h 22m,15,images\TheShawshankRedemption.jpg,http://www.imdb.com/title/tt0111161/
1,The Godfather,9.2,Francis Ford Coppola,1972,2h 55m,X,images\TheGodfather.jpg,http://www.imdb.com/title/tt0068646/
2,The Dark Knight,9.0,Christopher Nolan,2008,2h 32m,12A,images\TheDarkKnight.jpg,http://www.imdb.com/title/tt0468569/
3,The Godfather Part II,9.0,Francis Ford Coppola,1974,3h 22m,X,images\TheGodfatherPartII.jpg,http://www.imdb.com/title/tt0071562/
4,12 Angry Men,9.0,Sidney Lumet,1957,1h 36m,U,images\12AngryMen.jpg,http://www.imdb.com/title/tt0050083/
5,Schindler's List,9.0,Steven Spielberg,1993,3h 15m,15,images\SchindlersList.jpg,http://www.imdb.com/title/tt0108052/
6,The Lord of the Rings: The Return of the King,9.0,Peter Jackson,2003,3h 21m,12A,images\TheLordoftheRingsTheReturnoftheKing.jpg,http://www.imdb.com/title/tt0167260/
7,Pulp Fiction,8.9,Quentin Tarantino,1994,2h 34m,18,images\PulpFiction.jpg,http://www.imdb.com/title/tt0110912/
8,The Lord of the Rings: The Fellowship of the Ring,8.8,Peter Jackson,2001,2h 58m,PG,images\TheLordoftheRingsTheFellowshipoftheRing.jpg,http://www.imdb.com/title/tt0120737/
9,"The Good, the Bad and the Ugly",8.8,Sergio Leone,1966,2h 28m,X,images\TheGoodtheBadandtheUgly.jpg,http://www.imdb.com/title/tt0060196/
10,Forrest Gump,8.8,Robert Zemeckis,1994,2h 22m,12,images\ForrestGump.jpg,http://www.imdb.com/title/tt0109830/
11,Fight Club,8.8,David Fincher,1999,2h 19m,18,images\FightClub.jpg,http://www.imdb.com/title/tt0137523/
12,The Lord of the Rings: The Two Towers,8.8,Peter Jackson,2002,2h 59m,12A,images\TheLordoftheRingsTheTwoTowers.jpg,http://www.imdb.com/title/tt0167261/
13,Inception,8.8,Christopher Nolan,2010,2h 28m,12A,images\Inception.jpg,http://www.imdb.com/title/tt1375666/
14,Star Wars: Episode V - The Empire Strikes Back,8.7,Irvin Kershner,1980,2h 4m,U,images\StarWarsEpisodeVTheEmpireStrikesBack.jpg,http://www.imdb.com/title/tt0080684/
15,The Matrix,8.7,Lana WachowskiLilly Wachowski,1999,2h 16m,15,images\TheMatrix.jpg,http://www.imdb.com/title/tt0133093/
16,GoodFellas,8.7,Martin Scorsese,1990,2h 25m,18,images\GoodFellas.jpg,http://www.imdb.com/title/tt0099685/
17,One Flew Over the Cuckoo's Nest,8.7,Milos Forman,1975,2h 13m,15,images\OneFlewOvertheCuckoosNest.jpg,http://www.imdb.com/title/tt0073486/
18,Seven,8.6,David Fincher,1995,2h 7m,18,images\Seven.jpg,http://www.imdb.com/title/tt0114369/
19,It's a Wonderful Life,8.6,Frank Capra,1946,2h 10m,U,images\ItsaWonderfulLife.jpg,http://www.imdb.com/title/tt0038650/
20,Seven Samurai,8.6,Akira Kurosawa,1954,3h 27m,A,images\SevenSamurai.jpg,http://www.imdb.com/title/tt0047478/
21,The Silence of the Lambs,8.6,Jonathan Demme,1991,1h 58m,18,images\TheSilenceoftheLambs.jpg,http://www.imdb.com/title/tt0102926/
22,Saving Private Ryan,8.6,Steven Spielberg,1998,2h 49m,15,images\SavingPrivateRyan.jpg,http://www.imdb.com/title/tt0120815/
23,City of God,8.6,Fernando MeirellesKátia Lund,2002,2h 10m,18,images\CityofGod.jpg,http://www.imdb.com/title/tt0317248/
24,Interstellar,8.7,Christopher Nolan,2014,2h 49m,12A,images\Interstellar.jpg,http://www.imdb.com/title/tt0816692/
25,Life Is Beautiful,8.6,Roberto Benigni,1997,1h 56m,PG,images\LifeIsBeautiful.jpg,http://www.imdb.com/title/tt0118799/
